Unique_ID,Subregion,E/I,"Axonal-dendritic pattern (ax=1, de=2)",p,Projection patterning,Hippocampome neuronal  class,Neurite,Neurite_ID,Total_length (micron),%_of_neurite_tree,Density,Avg_max_path_length (micron),Avg_mean_path_length (micron),Reference_ID
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,DG:SG:D,11,1532.0654676829,7.5289025571,0.0181145519,586.2096774194,522.25,800034
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,DG:H:D,14,5809.5644398594,28.5494618145,0.0217148352,471.8817204301,251.935483871,800034
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,DG:H:A,13,3454.4483707027,73.5201262826,0.0080699657,886.7741935484,443.3870967742,800034
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,CA3:SL:A,25,1244.1947701243,26.4798737174,0.0728397742,1048.2258064516,967.5,800034
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMo:D,5,11442.7958446335,72.7194317605,0.0722542333,421.5259259259,339.5611111111,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMi:D,8,4292.7449422029,27.2805682395,0.0623152966,206.7407407407,121,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMi:A,7,271.4400744558,1.2415102607,0.0019701693,59.8888888889,29.9444444444,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SG:A,10,867.0115319383,3.9655298328,0.0071630214,162.7777777778,111.3555555556,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:H:A,13,19168.4593755424,87.6725334112,0.0308077244,904.8333333333,544.2388888889,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,CA3:SL:A,25,1556.7886623202,7.1204264953,0.0687055176,1154.2222222222,994.5444444444,800036
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMo:D,5,6244.4727716782,80.7461406518,0.0651103999,250.2564102564,184.7961538462,800038
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMo:A,4,245.4014790782,1.4895330113,0.0012793865,193.7692307692,170.8819230769,800038
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMi:D,8,1488.9900554878,19.2538593482,0.0348482235,105.7179487179,60.8846153846,800038
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SMi:A,7,855.5889405698,5.193236715,0.0100120731,143.7307692308,79.3230769231,800038
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:SG:A,10,3494.5760173834,21.2113079263,0.0239147099,301.3846153846,229.2692307692,800038
1001,DG,E,2311,p,CA3 00100,Semilunar Granule,DG:H:A,13,11879.4950232433,72.1059223475,0.0462267289,781.3076923077,529.4461538462,800038
1002,DG,E,0103,,,Mossy,DG:SMo:A,4,1514.7132930683,7.1619365609,0.0043645465,1415.3931203931,1337.9852579853,800040
1002,DG,E,0103,,,Mossy,DG:SMi:A,7,1295.8036796179,6.1268781302,0.0100738382,1699.5577395578,1672.8624078624,800040
1002,DG,E,0103,,,Mossy,DG:SG:A,10,879.1692540187,4.1569282137,0.0078593523,795.3316953317,,800040
1002,DG,E,0103,,,Mossy,DG:H:D,14,15196.5641337201,100,0.0704991286,370.8435708436,192.3832923833,800040
1002,DG,E,0103,,,Mossy,DG:H:A,13,17138.5042530384,81.0350584307,0.0636064629,1304.4226044226,652.2113022113,800040
1002,DG,E,0103,,,Mossy,CA3:SP:A,28,321.3028197418,1.5191986644,0.006467202,705.6511056511,677.5798525799,800040
1002,DG,E,0103,,,Mossy,DG:SMo:A,4,6620.8790614398,19.921957393,0.0132447081,1539.1463414634,1177.8048780488,800042
1002,DG,E,0103,,,Mossy,DG:SMi:A,7,5299.5072212266,15.946002953,0.0370325014,1207.4796747968,1015.5,800042
1002,DG,E,0103,,,Mossy,DG:SG:A,10,2951.180608646,8.8799831259,0.041691424,658.2113821138,605.6707317073,800042
1002,DG,E,0103,,,Mossy,DG:H:D,14,14821.9966707056,100,0.0962923446,430.2721088435,233.3673469388,800042
1002,DG,E,0103,,,Mossy,DG:H:A,13,16105.3146041905,48.4602404556,0.0814644092,748.7804878049,374.3902439024,800042
1002,DG,E,0103,,,Mossy,CA3:SL:A,25,,,,592.1951219512,584.8658536585,800042
1002,DG,E,0103,,,Mossy,CA3:SP:A,28,2257.1975201521,6.7918160726,0.0178053029,962.4390243902,789.6219512195,800042
1002,DG,E,0103,,,Mossy,DG:SMi:A,7,4150.5871209813,19.8537477148,0.024,1436.835106383,1320.6117021277,800044
1002,DG,E,0103,,,Mossy,DG:SG:D,11,,,,196.4189189189,250.527027027,800044
1002,DG,E,0103,,,Mossy,DG:SG:A,10,2381.0458345961,11.3893967093,0.0143670871,1036.524822695,1221.4095744681,800044
1002,DG,E,0103,,,Mossy,DG:H:D,14,13271.2187754214,97.665777439,0.33376746,479.9099099099,243.3783783784,800044
1002,DG,E,0103,,,Mossy,DG:H:A,13,12356.213777286,59.1042047532,0.0383374837,992.2872340426,602.7925531915,800044
1002,DG,E,0103,,,Mossy,CA3:SP:D,29,317.183552822,2.334222561,0.0081198422,399.1891891892,332.9189189189,800044
1002,DG,E,0103,,,Mossy,CA3:SP:A,28,2017.9650090959,9.6526508227,0.0358014646,504.7872340426,411.4228723404,800044
1043,DG,E,2323,,,Mossy MOLDEN,DG:SMo:D,5,1628.7695604536,8.5001010714,0.0094421179,578.5377358491,526.4150943396,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:SMo:A,4,390.891783137,2.8425895498,0.0019423144,1355.6603773585,1330.4245283019,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:SMi:D,8,1721.7314378636,8.985243582,0.0252234359,448.1132075472,394.1037735849,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:SMi:A,7,718.5178441478,5.2251068025,0.0090225564,1302.1226415094,1236.2382075472,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:SG:D,11,1485.4533327799,7.7521730342,0.0235666441,330.7389937107,297.1698113208,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:SG:A,10,393.1512732129,2.8590207033,0.0053462791,1183.7264150943,1160.6485849057,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:H:D,14,14325.81265003,74.7624823125,0.1031688471,444.5754716981,236.6745283019,800046
1043,DG,E,2323,,,Mossy MOLDEN,DG:H:A,13,11148.3240346703,81.071311206,0.0688164244,989.3081761006,560.7311320755,800046
1043,DG,E,2323,,,Mossy MOLDEN,CA3:SP:A,28,1100.371666981,8.0019717384,0.047493661,596.5801886792,516.8396226415,800046
1027,DG,I,2333,,,AIPRIM,DG:SMo:D,5,4222.5939971293,31.7118948933,0.0181001736,257.4637681159,236.0144927536,800048
1027,DG,I,2333,,,AIPRIM,DG:SMo:A,4,12114.1414303176,12.5096779744,0.0389455031,458.6231884058,431.9565217391,800048
1027,DG,I,2333,,,AIPRIM,DG:SMi:D,8,1605.731182139,12.0591225463,0.0158741597,149.0338164251,149.8188405797,800048
1027,DG,I,2333,,,AIPRIM,DG:SMi:A,7,33822.4051853911,34.9267341496,0.2507746631,352.8985507246,248.768115942,800048
1027,DG,I,2333,,,AIPRIM,DG:SG:D,11,2044.13120009,15.3515288965,0.0264858666,104.9758454106,104.7862318841,800048
1027,DG,I,2333,,,AIPRIM,DG:SG:A,10,18920.2756757522,19.5380380237,0.1838629157,268.731884058,238.115942029,800048
1027,DG,I,2333,,,AIPRIM,DG:H:D,14,5443.0330019717,40.8774536639,0.0433959601,126.6666666667,64.5652173913,800048
1027,DG,I,2333,,,AIPRIM,DG:H:A,13,30590.116216935,31.5889083245,0.1829155908,212.1256038647,134.8913043478,800048
1027,DG,I,2333,,,AIPRIM,CA3:SP:A,28,1391.2171591035,1.4366415278,0.0455516661,269.4927536232,242.981884058,800048
1027,DG,I,2333,,,AIPRIM,DG:SMo:D,5,1061.646773802,7.8064349176,0.005084841,254.8979591837,211.3571428571,800050
