UniqueIDs,Names,Abbreviations,EorI,DG:SMo,DG:SMi,DG:SG,DG:H,CA3:SLM,CA3:SR,CA3:SL,CA3:SP,CA3:SO,CA2:SLM,CA2:SR,CA2:SP,CA2:SO,CA1:SLM,CA1:SR,CA1:SP,CA1:SO,Sub:SM,Sub:SP,Sub:PL,EC:I,EC:II,EC:III,EC:IV,EC:V,EC:VI
6033,MEC LV Multipolar-PC,MEC LV MPC-PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
6021,LV Deep Pyramidal,LV Deep PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,3
6002,MEC LV Pyramidal,MEC LV PC,E,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,3,1
6023,MEC LV Superficial PC,MEC LV Sup PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,0
6052,MEC LV-VI PC-Polymorph,MEC LV-VI PC-PMC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
6078,LEC LVI Multipolar-PC,LEC LVI MPC-PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
6048,LII Axo-Axonic,LII AA,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6096,MEC LII Basket,MEC LII BC,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
6053,LII Basket-Multipolar,LII BC-MPI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6049,LEC LIII Multipolar,LEC LIII MPI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
6047,MEC LIII Multipolar,MEC LIII MPI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0
6040,MEC LIII Superficial MPI,MEC LIII Sup MPI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0
6087,LIII Pyramidal-Looking,LIII PLI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0
6038,MEC LIII Superficial Trilayer,MEC LIII Sup TLI,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
